Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Matrix Composition 3/100x100/hmatrix,1.3620101359727802e-3,1.3537623907252936e-3,1.3839644835475242e-3,4.0868745189264254e-5,5.940968832566799e-6,8.478925738952113e-5
Matrix Composition 3/100x100/matrix,1.0809299970886019e-2,1.0752338107240871e-2,1.0891157528195498e-2,1.8007471573282016e-4,1.2299672061176877e-4,3.0219623654587926e-4
Matrix Composition 3/100x100/linear,0.18205040314682666,0.180562590691261,0.18293209247187606,1.6217609431307168e-3,6.952830660311791e-4,2.4378123865224405e-3
Matrix Composition 3/100x100/laop,0.10699721801510345,0.102168819844212,0.11637571882967879,1.0362395118228378e-2,5.4971037198180165e-3,1.5872853158573976e-2
