Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Matrix Composition 4/75x75/hmatrix,2.276419054582678e-5,2.2482437611381657e-5,2.360144437696147e-5,1.5222976506219458e-6,4.0765286585964266e-7,2.9103296035429945e-6
Matrix Composition 4/75x75/matrix,2.0936503271136244e-4,2.0710548693886143e-4,2.1409702507450273e-4,1.0659634785987578e-5,3.89829999274891e-6,1.7235401786162477e-5
Matrix Composition 4/75x75/linear,1.7969606894901145e-3,1.5980159076727288e-3,2.160772465141179e-3,8.479131466110286e-4,5.84608377804606e-4,1.3215219944609983e-3
Matrix Composition 4/75x75/laop,1.6374970187291488e-3,1.626534794526188e-3,1.6545004694187135e-3,4.5086068252036335e-5,3.540062566581693e-5,5.816527363386737e-5
