Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Matrix Composition 4/75x75/hmatrix,5.95528838446268e-4,5.830069694194067e-4,6.400142533812301e-4,6.809038907466677e-5,1.9492488111724253e-5,1.4851705271798937e-4
Matrix Composition 4/75x75/matrix,4.805357818778239e-3,4.772221837425542e-3,4.890990635946677e-3,1.435801889977832e-4,6.481745628586297e-5,2.601412286667265e-4
Matrix Composition 4/75x75/linear,5.4819117771994566e-2,5.2892406364563056e-2,6.169945241945673e-2,6.435522477992372e-3,1.7056609696731685e-3,1.1403773533020824e-2
Matrix Composition 4/75x75/laop,4.397690556694446e-2,4.3717797754636856e-2,4.43100644663452e-2,5.714050095119176e-4,4.260661966179018e-4,7.684245267287646e-4
