Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Matrix Composition 2/50x50/hmatrix,1.7075473951016798e-4,1.6919839492210076e-4,1.7860798009119606e-4,8.50346870589183e-6,2.237090227688003e-6,1.9703600922176915e-5
Matrix Composition 2/50x50/matrix,1.5137557163438968e-3,1.4707399120933258e-3,1.6557370337981067e-3,2.562391829514645e-4,5.785993927677561e-5,5.283327530193643e-4
Matrix Composition 2/50x50/linear,1.2465579262275449e-2,1.2142187534499672e-2,1.3330657016178703e-2,1.154060541483039e-3,3.224464621643114e-4,1.8574809933228223e-3
Matrix Composition 2/50x50/laop,1.3885590775790983e-2,1.3527191490970897e-2,1.4519533314075002e-2,1.096842686210914e-3,7.569773786495579e-4,1.6040632008424134e-3
