Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Matrix Composition 1/10x10/hmatrix,2.5041475042371737e-6,2.4801644519762765e-6,2.5581315375555715e-6,1.0952653851112228e-7,6.446454610509202e-8,1.7105455404140005e-7
Matrix Composition 1/10x10/matrix,1.6999507464929833e-5,1.687763637898694e-5,1.7276398998107058e-5,6.08122344165996e-7,2.7246800447698703e-7,1.1080297576160435e-6
Matrix Composition 1/10x10/linear,7.753416180295299e-5,7.442187918550715e-5,8.325155275898391e-5,1.4832354642317022e-5,8.28063440890754e-6,2.1689724973486322e-5
Matrix Composition 1/10x10/laop,1.1625810789544189e-4,1.1485210958538725e-4,1.225842163743017e-4,8.443954975892952e-6,1.623783818685015e-6,1.9059842023778256e-5
