Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Matrix Composition 4/200x200/hmatrix,1.0977801720673962e-2,1.071440016202638e-2,1.1413354345191248e-2,9.122959354660937e-4,6.617415508769441e-4,1.3406370014655074e-3
Matrix Composition 4/200x200/matrix,9.431841931667391e-2,9.108544809930243e-2,0.10179584056074163,8.428571214185889e-3,4.078471770671511e-3,1.2824987121098069e-2
Matrix Composition 4/200x200/linear,3.820156596895231,3.78811137899811,3.8473486297925774,3.5126119749620356e-2,1.4006088626956625e-2,4.6624471974250334e-2
Matrix Composition 4/200x200/laop,1.2718944421247518,1.250382452624308,1.2922741657494043,2.725100100837838e-2,1.5826648172601723e-2,3.721950460090607e-2
